IDFIL,NAME,TOTAL_FLUX,MEAN_DENS,MEAN_TEMP,ELLIPTICITY,CONTRAST,SATELLITE,INSTRUMENT
45,HiGALFil013.9201-1.2385,9.2749000e+23,2.4751000e+20,19.3020,1.88679,1.15290,Herschel,SPIRE
52,HiGALFil013.8059-1.2194,1.3610000e+24,3.2992000e+20,18.5980,2.32558,1.15100,Herschel,SPIRE
59,HiGALFil022.6893-1.2209,1.5696000e+24,5.0057000e+20,20.5320,1.44928,1.27500,Herschel,SPIRE
90,HiGALFil020.5884-1.2144,1.8988000e+24,3.8392000e+20,19.6720,1.35135,1.20300,Herschel,SPIRE
131,HiGALFil015.6751-1.1809,4.3013000e+24,7.7251000e+20,18.0410,1.85185,1.38880,Herschel,SPIRE
133,HiGALFil013.5644-1.1996,7.8808000e+23,3.1605000e+20,19.4550,1.33333,1.31880,Herschel,SPIRE
145,HiGALFil015.9974-1.1946,2.2004000e+24,5.9819000e+20,17.8930,1.75439,1.13990,Herschel,SPIRE
165,HiGALFil022.8969-1.1913,1.0695000e+24,2.2693000e+20,21.2480,1.85185,1.22330,Herschel,SPIRE
182,HiGALFil018.3744-1.1508,2.9701000e+24,3.0268000e+20,18.7700,1.88679,1.08210,Herschel,SPIRE
200,HiGALFil018.0933-1.1472,5.5995000e+24,1.0869000e+21,18.1090,1.66667,1.39420,Herschel,SPIRE
206,HiGALFil013.4866-1.1716,6.3627000e+23,1.9940000e+20,19.8890,2.00000,1.20910,Herschel,SPIRE
215,HiGALFil015.9706-1.1534,3.2830000e+24,4.7212000e+20,18.2140,1.75439,1.20520,Herschel,SPIRE
225,HiGALFil017.8839-1.1078,1.2784000e+25,1.4530000e+21,18.0120,1.44928,1.48860,Herschel,SPIRE
227,HiGALFil015.5777-1.1292,5.7541000e+24,1.7579000e+21,17.9180,1.19048,1.66780,Herschel,SPIRE
232,HiGALFil015.7766-1.1108,4.2070000e+24,5.5256000e+20,18.1620,1.75439,1.25420,Herschel,SPIRE
255,HiGALFil013.4224-1.1299,2.3882000e+24,6.3612000e+20,19.2540,2.17391,1.59200,Herschel,SPIRE
271,HiGALFil013.7130-1.1119,5.6181000e+24,6.6199000e+20,18.8460,1.21951,1.34860,Herschel,SPIRE
318,HiGALFil022.8255-1.1165,2.3804000e+24,4.8871000e+20,21.7050,1.61290,1.18970,Herschel,SPIRE
327,HiGALFil017.5530-1.1362,1.5862000e+24,3.4430000e+20,18.2990,2.50000,1.14790,Herschel,SPIRE
372,HiGALFil022.1177-1.1043,3.6939000e+24,6.3504000e+20,19.9560,1.72414,1.25070,Herschel,SPIRE
377,HiGALFil013.0888-1.0877,1.8488000e+24,1.5378000e+20,20.0930,1.33333,1.15860,Herschel,SPIRE
409,HiGALFil015.9322-1.0422,1.2765000e+25,1.0500000e+21,18.3930,1.38889,1.31200,Herschel,SPIRE
419,HiGALFil017.6338-1.0530,4.8001000e+24,9.9855000e+20,19.0480,2.63158,1.39610,Herschel,SPIRE
423,HiGALFil013.3317-1.0984,1.4059000e+24,3.0057000e+20,19.4610,2.70270,1.23340,Herschel,SPIRE
436,HiGALFil022.3529-1.1018,1.4908000e+24,2.7221000e+20,20.2110,2.32558,1.11380,Herschel,SPIRE
444,HiGALFil016.0135-1.1021,2.0740000e+24,5.8148000e+20,18.2420,2.50000,1.18030,Herschel,SPIRE
460,HiGALFil020.3925-1.0416,1.3965000e+25,1.2575000e+21,19.0400,2.12766,1.39950,Herschel,SPIRE
468,HiGALFil022.7517-1.0886,2.1625000e+24,5.0973000e+20,21.0010,1.69492,1.18760,Herschel,SPIRE
472,HiGALFil017.3123-1.0960,1.6685000e+24,4.0424000e+20,18.1870,2.50000,1.14070,Herschel,SPIRE
473,HiGALFil013.5054-1.0951,7.7948000e+23,1.8114000e+20,19.2880,1.61290,1.18830,Herschel,SPIRE
478,HiGALFil018.3727-0.9992,1.4247000e+25,1.0190000e+21,18.9520,2.27273,1.30820,Herschel,SPIRE
496,HiGALFil022.5530-1.0284,5.5263000e+24,1.2548000e+21,19.3640,1.49254,1.54400,Herschel,SPIRE
501,HiGALFil011.8735-1.0671,1.2101000e+24,3.5372000e+20,18.7960,1.69492,1.19110,Herschel,SPIRE
510,HiGALFil019.9930-1.0805,1.6918000e+24,3.5964000e+20,19.7790,2.63158,1.15240,Herschel,SPIRE
513,HiGALFil017.9989-1.0662,3.0775000e+24,4.1318000e+20,18.5000,1.51515,1.10680,Herschel,SPIRE
529,HiGALFil018.2178-1.0579,5.9148000e+24,7.6400000e+20,18.5790,1.56250,1.25370,Herschel,SPIRE
545,HiGALFil017.8207-1.0416,5.2583000e+24,9.2991000e+20,18.4370,1.61290,1.36280,Herschel,SPIRE
566,HiGALFil021.4967-1.0501,2.2666000e+24,1.2755000e+20,20.0330,1.78571,1.07090,Herschel,SPIRE
568,HiGALFil020.2578-1.0697,1.5812000e+24,5.2861000e+20,19.5730,2.17391,1.12650,Herschel,SPIRE
571,HiGALFil013.6302-1.0257,3.8198000e+24,6.0354000e+20,19.9670,2.00000,1.26960,Herschel,SPIRE
585,HiGALFil022.8903-1.0616,7.5086000e+23,1.3891000e+20,21.5130,2.32558,1.05580,Herschel,SPIRE
619,HiGALFil014.0082-1.0125,5.9391000e+24,7.2375000e+20,18.9710,1.58730,1.23270,Herschel,SPIRE
629,HiGALFil021.6618-1.0138,1.3136000e+25,1.7764000e+21,19.1740,1.61290,1.42540,Herschel,SPIRE
630,HiGALFil020.1926-1.0067,4.9709000e+24,9.5447000e+20,19.1630,2.32558,1.36360,Herschel,SPIRE
633,HiGALFil019.4266-0.9876,2.9506000e+25,1.2030000e+21,19.0840,3.33333,1.33140,Herschel,SPIRE
648,HiGALFil020.6432-1.0279,2.0720000e+24,2.0598000e+20,20.0110,2.12766,1.09970,Herschel,SPIRE
651,HiGALFil020.0100-0.9924,7.8486000e+24,8.7275000e+20,18.8080,1.72414,1.32290,Herschel,SPIRE
666,HiGALFil011.5716-1.0348,1.6891000e+24,5.9073000e+20,18.4630,1.33333,1.20980,Herschel,SPIRE
670,HiGALFil019.9346-1.0502,1.0710000e+24,2.1676000e+20,19.9900,2.22222,1.08520,Herschel,SPIRE
687,HiGALFil019.1044-1.0097,5.9804000e+24,1.2113000e+21,18.9000,2.12766,1.35860,Herschel,SPIRE
709,HiGALFil012.8302-1.0325,1.0114000e+24,1.4213000e+20,19.8640,1.56250,1.07250,Herschel,SPIRE
716,HiGALFil022.8173-1.0271,1.6393000e+24,2.2106000e+20,21.5980,1.88679,1.14580,Herschel,SPIRE
