IDSTAR,NAMESTAR,GLON_ST,GLAT_ST,FLUX_ST,TYPE_ST
23813,HIGALPS005.0014+0.0856,5.0004370,0.084881000,36.8936,PROTOSTELLAR
23822,HIGALPS005.0033-0.0954,5.0032430,-0.095326000,9.09266,PRESTELLAR
23841,HIGALPS005.0078-0.2878,5.0075960,-0.28652500,5.42738,PRESTELLAR
23850,HIGALPS005.0106-0.1239,5.0096950,-0.12308700,7.79852,PRESTELLAR
23851,HIGALPS005.0103+0.9141,5.0105280,0.91332400,2.21230,UNBOUND
23852,HIGALPS005.0095+0.2666,5.0106420,0.26560300,5.54868,PRESTELLAR
23859,HIGALPS005.0133+0.3167,5.0123230,0.31724400,3.05150,UNBOUND
23869,HIGALPS005.0146-0.6877,5.0149390,-0.68833700,16.8743,UNBOUND
23894,HIGALPS005.0203+0.9028,5.0199890,0.90250300,2.22276,PROTOSTELLAR
23907,HIGALPS005.0215+0.3629,5.0220470,0.36234100,2.03438,PRESTELLAR
23914,HIGALPS005.0235-0.0351,5.0238330,-0.034762000,5.87451,PRESTELLAR
23918,HIGALPS005.0237+0.6409,5.0243510,0.64099200,1.11711,UNBOUND
23924,HIGALPS005.0254-0.0926,5.0251360,-0.092752000,4.86809,PRESTELLAR
23925,HIGALPS005.0248-0.6382,5.0253220,-0.63676700,10.2325,PRESTELLAR
23932,HIGALPS005.0271+0.5155,5.0274210,0.51481300,5.71456,PRESTELLAR
23935,HIGALPS005.0279+0.2700,5.0278780,0.27008900,2.55409,PRESTELLAR
23947,HIGALPS005.0311+0.0423,5.0307720,0.041804000,8.22517,UNBOUND
23950,HIGALPS005.0316-1.1276,5.0314270,-1.1268620,2.13425,UNBOUND
23952,HIGALPS005.0317-0.0719,5.0320590,-0.071562000,18.1181,UNBOUND
23953,HIGALPS005.0323-0.9996,5.0321540,-0.99941700,3.35456,PRESTELLAR
23955,HIGALPS005.0341-0.1235,5.0324560,-0.12326900,7.05998,PRESTELLAR
23963,HIGALPS005.0353-1.0670,5.0344570,-1.0665440,5.95772,PRESTELLAR
23964,HIGALPS005.0345-0.3151,5.0344580,-0.31503300,8.97175,PRESTELLAR
23974,HIGALPS005.0361+0.1067,5.0365560,0.10720100,9.16595,PRESTELLAR
23981,HIGALPS005.0377-0.1980,5.0372210,-0.19861100,14.2316,PRESTELLAR
23983,HIGALPS005.0376-1.0463,5.0375280,-1.0461950,6.30826,PRESTELLAR
23985,HIGALPS005.0370+0.3498,5.0375950,0.34988500,3.57896,UNBOUND
23998,HIGALPS005.0401+0.4943,5.0400850,0.49439900,6.57118,PRESTELLAR
24001,HIGALPS005.0412+0.9602,5.0405220,0.95937400,5.66313,UNBOUND
24012,HIGALPS005.0424-0.0977,5.0424120,-0.097296000,36.5102,PROTOSTELLAR
24031,HIGALPS005.0477-0.2411,5.0474770,-0.23960200,5.28160,PRESTELLAR
24034,HIGALPS005.0487-0.1944,5.0482140,-0.19421000,21.2542,PROTOSTELLAR
24035,HIGALPS005.0480+0.1199,5.0486950,0.11960500,14.5734,PRESTELLAR
24043,HIGALPS005.0496+0.7218,5.0507130,0.72178100,1.26334,UNBOUND
24052,HIGALPS005.0534+0.6726,5.0549820,0.67249700,1.77171,PRESTELLAR
24054,HIGALPS005.0561-0.7860,5.0555640,-0.78638500,5.32689,PRESTELLAR
24060,HIGALPS005.0571+0.0887,5.0570410,0.088792000,10.0924,UNBOUND
24068,HIGALPS005.0589-0.8443,5.0586000,-0.84448900,6.77131,PRESTELLAR
24073,HIGALPS005.0602-0.2741,5.0600540,-0.27421100,21.3491,PROTOSTELLAR
24074,HIGALPS005.0613-0.7993,5.0601750,-0.79954800,3.34205,UNBOUND
24088,HIGALPS005.0645-0.5488,5.0636120,-0.54863700,15.0576,PROTOSTELLAR
24095,HIGALPS005.0656-1.2892,5.0657330,-1.2880170,8.39177,PRESTELLAR
24099,HIGALPS005.0663+0.4592,5.0662690,0.45929200,7.48632,UNBOUND
24100,HIGALPS005.0661-0.0449,5.0663500,-0.043962000,13.1988,PROTOSTELLAR
24102,HIGALPS005.0680-0.2578,5.0673740,-0.25925800,8.53362,PROTOSTELLAR
24105,HIGALPS005.0682+0.3059,5.0684280,0.30615200,17.2859,PRESTELLAR
24107,HIGALPS005.0703+0.0444,5.0689470,0.044728000,7.26974,PRESTELLAR
24119,HIGALPS005.0718+0.2359,5.0717340,0.23595300,3.35200,PRESTELLAR
24133,HIGALPS005.0759-0.0913,5.0752180,-0.091039000,55.2540,PROTOSTELLAR
24148,HIGALPS005.0815-0.2763,5.0814130,-0.27618300,6.60511,PRESTELLAR
24151,HIGALPS005.0843+0.5204,5.0842550,0.52053100,4.19732,UNBOUND
24152,HIGALPS005.0852+0.0011,5.0842700,0.0013300000,7.09658,PROTOSTELLAR
24157,HIGALPS005.0865-0.6961,5.0864890,-0.69604200,12.8063,PRESTELLAR
24162,HIGALPS005.0876-0.5805,5.0875650,-0.58038800,5.23584,PRESTELLAR
